sort_order;form_uid;form_group;category_code;category_title;title;version;file_name;relative_path;page_count;is_fillable;is_all_in_one;sensitivity;status;crm_use;reporting_export;sha256_hash;notes;barcode_action;barcode_position;barcode_reason
1;RAI-FRM-GDPR-001;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Krycí list GDPR balíčku;v1.3;RAI-FRM-GDPR-001_KRYCI_LIST_GDPR_BALICKU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-001_KRYCI_LIST_GDPR_BALICKU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;e28eeeb0bc0993e8a28e5f0f36fe64d06a01b31d2f34982b0d86dc0995242723;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
2;RAI-FRM-GDPR-002;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Informační memorandum;v1.3;RAI-FRM-GDPR-002_INFORMACNI_MEMORANDUM_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-002_INFORMACNI_MEMORANDUM_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;10db0c85581a4326f79021bf56ec17c0eca5780273968a221281e013cbf8c5e8;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
3;RAI-FRM-GDPR-003;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Informovaný souhlas GDPR;v1.3;RAI-FRM-GDPR-003_INFORMOVANY_SOUHLAS_GDPR_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-003_INFORMOVANY_SOUHLAS_GDPR_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;f37b06b11c9962c23afaf791ecd1d23742eb6dcf7d17b11fd97a4613737fa7b9;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
4;RAI-FRM-GDPR-004;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Zvláštní kategorie údajů;v1.3;RAI-FRM-GDPR-004_ZVLASTNI_KATEGORIE_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-004_ZVLASTNI_KATEGORIE_UDAJU_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;365d70b25069bec5f3fc93f43180b0807359fb633cfbef5fa9788fefdeb11237;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
5;RAI-FRM-GDPR-005;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Foto / video / audio souhlas;v1.3;RAI-FRM-GDPR-005_FOTO_VIDEO_AUDIO_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-005_FOTO_VIDEO_AUDIO_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;ef86dc79a8616b2e989bfb422c577bee583dd7883be226dd84a1f32161e1eaa1;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
6;RAI-FRM-GDPR-006;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Příběh / citace / kazuistika;v1.3;RAI-FRM-GDPR-006_PRIBEH_CITACE_KAZUISTIKA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-006_PRIBEH_CITACE_KAZUISTIKA_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;565936041189af0226df821eff4f355ffd5f2d991e5bf374545b1b59409f481b;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
7;RAI-FRM-GDPR-007;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Sdílení údajů s partnery;v1.3;RAI-FRM-GDPR-007_SDILENI_UDAJU_S_PARTNERY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-007_SDILENI_UDAJU_S_PARTNERY_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;ad741a56efb7b9f51f0393daead9ea962b2747342b7c93a878cb4e10d867b239;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
8;RAI-FRM-GDPR-008;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Elektronická komunikace a follow-up;v1.3;RAI-FRM-GDPR-008_ELEKTRONICKA_KOMUNIKACE_FOLLOW_UP_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-008_ELEKTRONICKA_KOMUNIKACE_FOLLOW_UP_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;67050613395bd46cdf9cdd265e0aab884707f0ec03d3cdf16bb5f7a5be4ee108;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
9;RAI-FRM-GDPR-009;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;BOD ZLOMU - mladistvý / zákonný zástupce;v1.3;RAI-FRM-GDPR-009_BOD_ZLOMU_MLADISTVY_ZAKONNY_ZASTUPCE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-009_BOD_ZLOMU_MLADISTVY_ZAKONNY_ZASTUPCE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;high;active;1;0;f9463b77b7a5584c6a69c9f5886d092aa45719857ab63899054b193bb4c4432a;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
10;RAI-FRM-GDPR-010;GDPR;01_GDPR_A_SOUHLASY;GDPR a souhlasy;Dobrovolník - osobní údaje;v1.3;RAI-FRM-GDPR-010_DOBROVOLNIK_OSOBNI_UDAJE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;01_GDPR_A_SOUHLASY/RAI-FRM-GDPR-010_DOBROVOLNIK_OSOBNI_UDAJE_FILLABLE_v1_3_CONTENT_LOCKED.pdf;1;1;0;internal;active;1;0;5b4dd2e098c2145518e37da41540f8b0ccec7c2a82effd493e024075cdcd45aa;GDPR formulář s přiděleným ID a čárovým kódem | barcode_release_v1_2;kept_existing;existing;GDPR already includes barcode from v1.3 source
